City,Country,Population (2025)
Tanjung Piayu,Indonesia,52161.76342
Cần Thơ,Vietnam,1652648.555
Hamju,North Korea,108173.0312
Hinomine 3-chome,Japan,95672.79013
Legazpi,Philippines,279036.4835
Yuzhong,China,51688.87238
Taik Kyi,Myanmar,167430.503
Prabumulih,Indonesia,130589.8425
Sa Đéc,Vietnam,107800.1882
Jongphyong,North Korea,105759.6432
Tsuruoka,Japan,59745.9759
Masbate City,Philippines,97799.71251
Yongning,China,68386.43179
Kyaiklat,Myanmar,123249.3535
Tanjung Pinang,Indonesia,147344.6798
Tây Ninh,Vietnam,436732.4746
Morioka,Japan,217879.8837
Ipil,Philippines,53844.25781
Qingtongxia,China,96777.50747
Pyapon,Myanmar,123458.0336
Bandar Seri Bentan,Indonesia,82487.65093
Bạc Liêu,Vietnam,150914.8032
Kyongsong,North Korea,56665.44689
Otsu,Japan,589900.801
Cadiz,Philippines,77493.60641
Lintao,China,110641.6396
Myaungtagar,Myanmar,74078.16173
Huế,Vietnam,383941.005
Ongjin,North Korea,65297.78843
Niigata,Japan,437871.2881
Sorsogon City,Philippines,99510.71118
Zhongning,China,95319.29243
Pyu,Myanmar,99617.24848
Tegal Rejo,Indonesia,76592.79027
Vinh Long,Vietnam,268852.1038
Jakdo-dong,North Korea,351909.1487
Nagahama,Japan,51750.33035
Virac,Philippines,70697.16761
Erenhot,China,116563.4055
Hmawbi,Myanmar,120818.7362
Palembang,Indonesia,2203124.013
Cai Lậy,Vietnam,64419.03219
Sinwon,North Korea,73290.98499
Wakayama,Japan,238884.1137
San Carlos,Philippines,55656.06825
Wuzhong,China,245267.776
Twante,Myanmar,136721.3661
Dabo,Indonesia,50644.13234
Sóc Trăng,Vietnam,132398.6319
Pyoksong,North Korea,68059.45524
Joetsu,Japan,66773.85996
Dumaguete,Philippines,206159.6917
Lingwu,China,65203.18792
Yangon,Myanmar,6190957.71
Kotabumi,Indonesia,193831.551
Trang Bang,Vietnam,143952.1885
Ohmi-Hachiman,Japan,55394.09333
Toledo,Philippines,134476.9649
Hulunbuir,China,210422.6998
Dedaye,Myanmar,71727.77332
Pringsewu,Indonesia,86248.759
Mỹ Tho,Vietnam,461519.6334
Suan,North Korea,57630.74308
Hikone,Japan,110939.7217
Cebu City,Philippines,3191585.379
Dingxi,China,110323.2675
Panglong,Myanmar,79111.88211
Kayu Agung,Indonesia,53104.28391
Binh Long,Vietnam,55424.76251
Kashiwazaki,Japan,51508.52615
Dipolog,Philippines,147134.431
Tongxin,China,74893.638
Laukkaing,Myanmar,71531.7024
Bagelen,Indonesia,126294.2334
Củ Chi,Vietnam,191260.2354
Haeju,North Korea,263991.8123
Nara,Japan,957959.6854
Pagadian,Philippines,202901.3505
Haiyuan,China,66365.49749
Hlegu,Myanmar,125912.1832
Pemanggilan,Indonesia,136819.026
Đức Hòa,Vietnam,94466.23749
Kowon,North Korea,108075.3277
Sanjo,Japan,91535.43656
Tagbilaran,Philippines,142811.7622
Yingjiang County,China,51190.9041
Kungyangon,Myanmar,69926.58984
Bandar Lampung,Indonesia,1257827.767
Bến Tre,Vietnam,134849.5419
홍원읍,North Korea,108269.6532
Nagaoka,Japan,146806.222
Catarman,Philippines,78141.64545
Huining,China,51197.79824
Kyauktaga,Myanmar,56082.56888
Poncowati,Indonesia,131145.28
Trà Vinh,Vietnam,116242.8702
Chonnae,North Korea,74223.29268
Nagoya,Japan,7721742.251
Calbayog,Philippines,77926.90802
Baotou,China,1645071.521
Loikaw,Myanmar,116520.8938
Metro,Indonesia,193950.2543
Ho Chi Minh City,Vietnam,14557830.27
북청읍,North Korea,82667.52855
Nagano,Japan,264479.6246
Oroquieta,Philippines,70329.99582
Shangri-La,China,59704.66373
Tangyan,Myanmar,114092.423
Muntok,Indonesia,64661.26733
Bến Cát,Vietnam,88937.08869
Sohung,North Korea,67189.72264
Kani,Japan,105323.0715
Tangub [Tubod],Philippines,72025.43782
Longxi,China,141596.214
Nansang,Myanmar,56027.90384
Banjarmasin,Indonesia,134876.5633
Đà Nẵng,Vietnam,1178696.377
Koksan,North Korea,93926.55936
Matsumoto,Japan,176025.0298
