prov_id,names,owner,population,year
3689,Csíkszereda; Miercurea Ciuc,ROM,34484,2021
3696,Nagyvárad; Oradea,ROM,164899,2025
3700,Eisenstadt,ASA,16396,2026
3701,Izmail; Izmayil,UKR,,
3705,Augsburg,GER,338257,2025
3710,Worcester,USA,134217,2025
3712,Concord,USA,285553,2025
3714,Rize,TUR,125883,2025
3719,Fargo,USA,131027,2025
3720,Maykop,SOV,124382,2025
3724,Comrat; Komrat,MLD,19120,2024
3728,Piatra Neamț,ROM,70378,2025
3730,Nyíregyháza,HUN,78595,2025
3731,Eger,HUN,48686,2025
3732,Portland,USA,,
3738,Ochakiv; Ochakov,UKR,,
3739,Svetlaya,SOV,,
3747,Oswego,USA,24421,2020
3748,Ipatovo,SOV,25163,2025
3751,Albi,FRA,,
3762,Gap,FRA,,
3765,Tikhoretsk,SOV,62800,2025
3768,Grenoble,FRA,348043,2025
3769,Swift Current,CAN,16304,2021
3771,Brive-la-Gaillarde,FRA,,
3775,Toronto,CAN,5566382,2025
3776,Mantua,ITA,,
3778,Ottawa,CAN,604618,2025
3780,Milan; Milano,ITA,3135553,2025
3783,Wafangdian; Wăfángdiàn,PRC,319394,2025
3786,İnegöl,TUR,214533,2025
3787,Spassk-Dal'ny; Spassk-Dalny,SOV,,
3788,Beyşehir,TUR,48583,2022
3796,Pleven,BUL,88058,2025
3799,Requena,SPA,,
3803,Hyesan,DPK,241782,2025
3810,Pozoblanco,SPA,,
3814,Lingyuan; Língyuán,PRC,170997,2025
3815,Jixi; Jīxī,PRC,413446,2025
3819,Gabrovo,BUL,43229,2025
3823,Charlottesville,USA,104191,2020
3828,Aohan; Auqan; Áohàn,PRC,,
3830,Qian'an; Qiān'ān,PRC,190878,2025
3838,Ajaccio,FRA,57575,2025
3844,Katerini; Kateríni,GRC,61557,2021
