City,Country,Population,Census Date
Clarksville,USA,7816,4/1/20
Clarksville,USA,200947,4/1/20
Clay Center,USA,4131,4/1/20
Clayton,USA,2092,4/1/20
Clayton ( - Archer Lodge ),USA,51898,4/1/20
Clearfield,USA,10524,4/1/20
Clearlake,USA,17351,4/1/20
Clear Lake,USA,8406,4/1/20
Clearlake Riviera,USA,5461,4/1/20
Cleburne,USA,43901,4/1/20
Cle Elum,USA,3846,4/1/20
Cleveland,USA,14346,4/1/20
Cleveland,USA,1712178,4/1/20
Cleveland,USA,73918,4/1/20
Cleveland,USA,7469,4/1/20
Clewiston,USA,12849,4/1/20
Clifton Forge,USA,5127,4/1/20
Clifton Springs,USA,6383,4/1/20
Clinton,USA,7323,4/1/20
Clinton,USA,6484,4/1/20
Clinton,USA,8866,4/1/20
Clinton,USA,16136,4/1/20
Clinton,USA,9315,4/1/20
Clinton,USA,8022,4/1/20
Clinton,USA,9143,4/1/20
Clinton - Fulton,USA,31126,4/1/20
Clintonville,USA,4530,4/1/20
Cloquet,USA,13213,4/1/20
Clover,USA,7526,4/1/20
Cloverdale,USA,9451,4/1/20
Clovis,USA,39314,4/1/20
Clyde,USA,6549,4/1/20
Coal City - Braidwood,USA,15837,4/1/20
Coalinga,USA,13049,4/1/20
Cobleskill,USA,5040,4/1/20
Cochran,USA,6159,4/1/20
Cody,USA,9999,4/1/20
Coeur d'Alene,USA,121831,4/1/20
Coffeyville,USA,9391,4/1/20
Colby,USA,5467,4/1/20
Colchester,USA,5512,4/1/20
Cold Spring,USA,5099,4/1/20
Cold Springs,USA,9686,4/1/20
Coldwater,USA,13721,4/1/20
Coleman,USA,3599,4/1/20
College Station - Bryan,USA,206137,4/1/20
Collins ( Gowanda ),USA,5448,4/1/20
Collinsville,USA,4706,4/1/20
Colonial Beach,USA,3975,4/1/20
Colorado City,USA,5839,4/1/20
Colorado Springs,USA,632494,4/1/20
Columbia,USA,5018,4/1/20
Columbia,USA,6236,4/1/20
Columbia,USA,141831,4/1/20
Columbia,USA,590407,4/1/20
Columbia ( incl. Mount Pleasant ),USA,42423,4/1/20
Columbia City,USA,10256,4/1/20
Columbia Falls,USA,6589,4/1/20
Columbiana,USA,9160,4/1/20
