Name,Status,State,36617,40269,43922
Brooksville,Urban Area,Florida,,,12128
Brookville,Urban Area,Ohio,,,6372
Brookville,Urban Area,Pennsylvania,4746,4542,4644
Brownfield,Urban Area,Texas,,,8264
Browns Mills,Urban Area,New Jersey,,,27234
Brownsville,Urban Area,Tennessee,10199,9879,9621
Brownsville,Urban Area,Texas,168785,217585,216444
Brownwood,Urban Area,Texas,22044,22711,21562
Brunswick,Urban Area,Maine,31870,29159,31361
Brunswick,Urban Area,Maryland,6441,8495,8269
Brunswick - St. Simons,Urban Area,Georgia,,63250,68750
Brush,Urban Area,Colorado,5564,5816,5568
Bryan,Urban Area,Ohio,8944,9762,9238
Buchanan,Urban Area,Michigan,,,5640
Buckeye,Urban Area,Arizona,8818,19424,23897
Buckeye North,Urban Area,Arizona,,,6796
Buckhannon,Urban Area,West Virginia,9079,8731,8547
Bucyrus,Urban Area,Ohio,13415,12401,11772
Buellton,Urban Area,California,,,5161
Buena Vista,Urban Area,Colorado,3501,4483,5038
Buena Vista,Urban Area,Virginia,6162,6536,6603
Buffalo,Urban Area,Minnesota,10654,15972,16439
Buffalo,Urban Area,New York,976703,935906,948864
Buffalo,Urban Area,Wyoming,3702,4368,4516
Buies Creek - Lillington,Urban Area,North Carolina,,8944,7391
Bullhead City,Urban Area,Arizona / Nevada,36301,48656,54396
Burkburnett,Urban Area,Texas,10482,10002,10449
Burley,Urban Area,Idaho,12806,15977,17741
Burlington,Urban Area,Iowa / Illinois,30495,29569,28447
Burlington,Urban Area,North Carolina,94248,119911,145311
Burlington,Urban Area,Vermont,105365,108740,118032
Burlington,Urban Area,Wisconsin,22047,23534,24086
Burnet,Urban Area,Texas,3756,5428,5001
Burns,Urban Area,Oregon,4330,4131,4169
Burnt Store Marina,Urban Area,Florida,,3061,4191
Bushnell,Urban Area,Florida,3002,3500,3664
Butler,Urban Area,Pennsylvania,40622,40352,37954
Butte-Silver Bow,Urban Area,Montana,30615,30287,30258
Byron,Urban Area,Illinois,,,5625
Byron,Urban Area,Minnesota,3489,4864,6341
Cadillac,Urban Area,Michigan,11110,11690,12208
Cairo,Urban Area,Georgia,8978,9414,10346
Calexico,Urban Area,California,,,38491
Calhoun,Urban Area,Georgia,,,23066
California - Brownsville,Urban Area,Pennsylvania,,,10185
Calistoga,Urban Area,California,5190,5155,5173
Calumet (- Laurium),Urban Area,Michigan,,,5112
Camarillo,Urban Area,California,62798,71772,76338
Cambria,Urban Area,California,5746,5865,5478
Cambridge,Urban Area,Maryland,12550,14255,14978
Cambridge,Urban Area,Minnesota,,,10128
Cambridge,Urban Area,Ohio,16440,15232,14427
Camden,Urban Area,Arkansas,,,9873
Camden,Urban Area,Maine,4468,3968,4660
Camden - Lugoff,Urban Area,South Carolina,,,30655
Camdenton,Urban Area,Missouri,3175,3632,5849
Cameron,Urban Area,Missouri,8048,9782,8450
Cameron,Urban Area,Texas,5548,5389,5151
Camilla,Urban Area,Georgia,,,5270
Campbellsville,Urban Area,Kentucky,11733,11719,12789
Camp Verde,Urban Area,Arizona,,5305,5759
Canajoharie - Fort Plain,Urban Area,New York,5633,5730,5278
Canandaigua,Urban Area,New York,,,18049
Canastota,Urban Area,New York,,,5616
Canby,Urban Area,Oregon,,17119,19055
Cañon City,Urban Area,Colorado,26332,27139,24737
Canton,Urban Area,Illinois,,,13177
Canton,Urban Area,Mississippi,13389,15321,26257
Canton,Urban Area,New York,5966,6489,6812
Canton,Urban Area,North Carolina,,,8812
Canton,Urban Area,Ohio,269168,279245,295319
Canyon,Urban Area,Texas,12928,13440,16171
Canyon Lake,Urban Area,Texas,4513,5277,7918
Cape Coral,Urban Area,Florida,356854,530290,599242
Cape Girardeau,Urban Area,Missouri / Illinois,46968,52900,55546
Carbondale,Urban Area,Colorado,5959,7159,7361
Carbondale (incl. Murphysboro),Urban Area,Illinois,,,31488
Carlinville,Urban Area,Illinois,6229,5953,5602
Carlsbad,Urban Area,New Mexico,27439,29839,34442
Carmi,Urban Area,Illinois,5637,5568,5067
Caro,Urban Area,Michigan,5196,5113,5383
Carrizo Springs,Urban Area,Texas,6340,6050,5615
Carroll,Urban Area,Iowa,9942,9984,10150
Carrollton,Urban Area,Georgia,,,38385
Carrollton,Urban Area,Kentucky,4894,5165,5471
Carson City,Urban Area,Nevada,,58079,61629
Cartersville,Urban Area,Georgia,33685,52477,52351
Carthage,Urban Area,Missouri,14206,15496,16260
Carthage,Urban Area,New York,,,5160
Carthage,Urban Area,Texas,5804,6492,6328
Caruthersville,Urban Area,Missouri,6594,5786,5319
Casa Grande,Urban Area,Arizona,29815,51331,50981
Casper,Urban Area,Wyoming,57719,64548,67751
Castle Rock,Urban Area,Colorado,,,85350
Castroville - Prunedale,Urban Area,California,,,12334
Catskill,Urban Area,New York,7812,6453,7012
Cedar City,Urban Area,Utah,21978,33200,40899
Cedar Rapids,Urban Area,Iowa,155334,177844,192844
Cedartown,Urban Area,Georgia,12043,12502,12833
Celina,Urban Area,Ohio,,11259,12035
Center,Urban Area,Texas,5770,5234,5123
Centerville,Urban Area,Iowa,5667,5380,5269
Central City,Urban Area,Kentucky,,,5767
Centralia,Urban Area,Illinois,,,15301
Centralia,Urban Area,Washington,30733,39517,42338
Chadron,Urban Area,Nebraska,5473,5515,4930
Chambersburg,Urban Area,Pennsylvania,37872,50887,50094
Champaign,Urban Area,Illinois,123938,145361,147452
Chanute,Urban Area,Kansas,9228,9059,8710
Chapin,Urban Area,South Carolina,,,5701
Chardon,Urban Area,Ohio,,,6454
Charles City,Urban Area,Iowa,7471,7706,7255
Charleston,Urban Area,Illinois,,,17415
Charleston,Urban Area,West Virginia,,153199,140958
Charleston,Urban Area,South Carolina,432533,548404,684773
Charlestown,Urban Area,Indiana,6812,6921,6696
Charlestown,Urban Area,Rhode Island,3013,2942,4348
Charlevoix,Urban Area,Michigan,4688,4179,3777
Charlotte,Urban Area,Michigan,11539,12682,13026
Charlotte,Urban Area,North Carolina / South Carolina,829725,1249442,1379873
Charlottesville,Urban Area,Virginia,81449,92359,104191
Chatsworth,Urban Area,Georgia,,,12808
Chattanooga,Urban Area,Tennessee / Georgia,343509,381112,398569
Cheboygan,Urban Area,Michigan,4968,4517,5142
Chelan,Urban Area,Washington,3410,5704,6380
Chelsea,Urban Area,Michigan,4753,5329,5851
Cheney,Urban Area,Washington,8934,10569,13176
Cheraw,Urban Area,South Carolina,9040,8160,7480
Cherokee,Urban Area,Iowa,4828,4662,4705
Cherryville,Urban Area,North Carolina,5861,6340,6747
Chesapeake Beach,Urban Area,Maryland,,,16926
Chester,Urban Area,Illinois,,,6338
Chester,Urban Area,New York,,5691,5900
Chester,Urban Area,South Carolina,11242,9351,8611
Chestertown,Urban Area,Maryland,6371,7153,7392
Cheyenne,Urban Area,Wyoming,68202,73588,79250
Chicago,Urban Area,Illinois / Indiana,8337300,8608208,8671746
Chickasha,Urban Area,Oklahoma,15510,15739,15253
Chico,Urban Area,California,89221,98176,111411
Childress,Urban Area,Texas,5077,4707,4516
Chillicothe,Urban Area,Missouri,9096,9633,9122
Chillicothe,Urban Area,Ohio,30594,32263,31727
Chincoteague,Urban Area,Virginia,,,3223
Chino Valley,Urban Area,Arizona,6871,10783,13317
Chisholm,Urban Area,Minnesota,4960,4622,4586
Chittenango,Urban Area,New York,4958,5083,5054
Chowchilla,Urban Area,California,7592,11843,13196
Cienega Springs,Urban Area,Arizona,,,2041
Cincinnati,Urban Area,Ohio / Kentucky,1521499,1624827,1686744
Circleville,Urban Area,Ohio,15653,14965,15679
Clanton,Urban Area,Alabama,4765,5785,6423
Claremont,Urban Area,New Hampshire,9188,9598,9415
Claremore,Urban Area,Oklahoma,18957,25164,25415
Clarinda,Urban Area,Iowa,5536,5415,5213
Clarion,Urban Area,Pennsylvania,,,5662
Clarksburg,Urban Area,West Virginia,,,32882
Clarksdale,Urban Area,Mississippi,,,14408
Clarksville,Urban Area,Arkansas,5295,7313,7816
Clarksville,Urban Area,Tennessee / Kentucky,121775,158655,200947
Clay Center,Urban Area,Kansas,4526,4307,4131
Clayton,Urban Area,New York,,,2092
Clayton (- Archer Lodge),Urban Area,North Carolina,,,51898
Clearfield,Urban Area,Pennsylvania,,10903,10524
Clearlake,Urban Area,California,13873,15944,17351
Clear Lake,Urban Area,Iowa,8401,7944,8406
Clearlake Riviera,Urban Area,California,,2806,5461
Cleburne,Urban Area,Texas,,35122,43901
Cle Elum,Urban Area,Washington,3076,3539,3846
Cleveland,Urban Area,Mississippi,17265,15722,14346
Cleveland,Urban Area,Ohio,1821443,1780673,1712178
Cleveland,Urban Area,Tennessee,58192,66777,73918
Cleveland,Urban Area,Texas,,,7469
Clewiston,Urban Area,Florida,12780,12833,12849
Clifton Forge,Urban Area,Virginia,5967,5311,5127
Clifton Springs,Urban Area,New York,,6444,6383
Clinton,Urban Area,Illinois,,,7323
Clinton,Urban Area,Indiana,6920,6425,6484
Clinton,Urban Area,Missouri,8950,8740,8866
Clinton,Urban Area,New Jersey,,,16136
Clinton,Urban Area,North Carolina,9068,9538,9315
Clinton,Urban Area,Oklahoma,8418,8426,8022
Clinton,Urban Area,South Carolina,,,9143
Clinton - Fulton,Urban Area,Iowa / Illinois,33431,32332,31126
Clintonville,Urban Area,Wisconsin,4868,4481,4530
Cloquet,Urban Area,Minnesota,11582,12936,13213
Clover,Urban Area,South Carolina,4174,6513,7526
Cloverdale,Urban Area,California,7488,9166,9451
Clovis,Urban Area,New Mexico,38388,41570,39314
Clyde,Urban Area,Ohio,6441,6039,6549
Coal City - Braidwood,Urban Area,Illinois,,,15837
Coalinga,Urban Area,California,11724,12702,13049
Cobleskill,Urban Area,New York,5270,5618,5040
Cochran,Urban Area,Georgia,5636,6324,6159
Cody,Urban Area,Wyoming,8704,9338,9999
Coeur d'Alene,Urban Area,Idaho,74800,98378,121831
Coffeyville,Urban Area,Kansas / Oklahoma,11447,10909,9391
Colby,Urban Area,Kansas,5554,5463,5467
Colchester,Urban Area,Connecticut,,,5512
Cold Spring,Urban Area,Minnesota,3654,4324,5099
Cold Springs,Urban Area,Nevada,,,9686
Coldwater,Urban Area,Michigan,,,13721
Coleman,Urban Area,Texas,4706,4310,3599
College Station - Bryan,Urban Area,Texas,132500,171345,206137
Collins (Gowanda),Urban Area,New York,,,5448
Collinsville,Urban Area,Oklahoma,,4248,4706
Colonial Beach,Urban Area,Virginia,4281,3693,3975
Colorado City,Urban Area,Texas,6599,5948,5839
Colorado Springs,Urban Area,Colorado,466122,559409,632494
Columbia,Urban Area,Kentucky,4421,4579,5018
Columbia,Urban Area,Mississippi,7833,7294,6236
Columbia,Urban Area,Missouri,98779,124748,141831
