City,Country,Population (2025)
Rattangarh Kanakwal,India,59159.37721
Goalanda,Bangladesh,54218.06909
Bandar Ganaveh,Iran,72433.68251
Bhit Shah,Pakistan,59059.74394
Sirohi,India,57589.37875
Narail,Bangladesh,59156.43776
Dogonbadan,Iran,64064.32663
Anghapur,Pakistan,61714.02527
Kadi,India,136712.4122
Barogram,Bangladesh,57096.81868
Dolatabad,Iran,179270.1046
Rustam,Pakistan,61629.5464
Abu Road,India,92584.1536
Koyra,Bangladesh,109714.3127
Surak,Iran,212993.9859
Pacha Kalay,Pakistan,68734.83798
Visnagar,India,143161.1402
Muktagacha,Bangladesh,191483.2652
Baharestan,Iran,65571.17244
Yar Hussain,Pakistan,328268.7651
Jagraon,India,93838.13304
Paikgacha,Bangladesh,66441.7074
Behshahr,Iran,58671.07682
Kashmore,Pakistan,75841.25105
Palitana,India,109201.689
Phulpur,Bangladesh,68239.38147
Shahdadpur,Pakistan,131864.6819
Rampura Phul,India,55418.96279
Phulbaria,Bangladesh,123041.2592
ساحلی,Iran,115169.0779
Dherai,Pakistan,89636.29274
Pali,India,251607.6082
Khulna,Bangladesh,1081072.111
Jalali,Iran,86716.13137
Shewa,Pakistan,50847.71503
Sumerpur,India,79386.19147
দক্ষিণ বেদকাশী,Bangladesh,62162.60508
Shahreza,Iran,88204.0601
Darya Khan,Pakistan,103506.4157
Hoshiarpur,India,238483.6544
Faridpur,Bangladesh,326742.7679
Mahdishahr,Iran,117814.9445
Piplan,Pakistan,74173.03539
Nohar,India,69703.58908
Mymensingh,Bangladesh,677659.9388
Yasuj,Iran,152459.5919
Mianwali,Pakistan,214081.5095
Mahuva,India,155956.1008
Manikganj,Bangladesh,228342.5496
Semnan,Iran,95937.86114
Bhakkar,Pakistan,147098.7397
Phagwara,India,159802.2551
Savar,Bangladesh,3695796.577
Bandar-e Torkaman,Iran,81592.94137
Sakhi Sarwar,Pakistan,60495.70738
Sihor,India,77990.78761
Trishal,Bangladesh,203612.4893
Taunsa Sharif,Pakistan,86943.82273
Sardarshahar,India,79782.46197
Gouripur,Bangladesh,118927.6155
Borazjan,Iran,86994.75055
Guddu,Pakistan,72294.2296
Ambaji,India,63034.58487
Louhajang,Bangladesh,681603.0739
Kazerun,Iran,80750.30902
Kalpani,Pakistan,53715.96085
Kalol,India,147906.2594
Bhaluka,Bangladesh,73084.79389
Gorgan,Iran,299525.6823
Tando Adam,Pakistan,199888.4649
Dharamshala,India,82359.10611
Dhaka,Bangladesh,37307159.73
Gonbad-e Qabus,Iran,158050.3362
Swabi,Pakistan,523908.7519
Chharodi,India,50928.1254
Bhanga,Bangladesh,54080.22134
Shahrud,Iran,108308.2338
Jand,Pakistan,64231.9949
Sirsa,India,280986.9065
Gopalganj,Bangladesh,175791.6061
Shiraz,Iran,707097.8471
Mirpur Mathelo,Pakistan,130877.2015
Ahmedabad,India,7898649.803
Balipara,Bangladesh,82620.92264
Galikash,Iran,61097.67587
Totalai,Pakistan,71204.4597
Changodar,India,59313.48555
Bokainagar,Bangladesh,67043.18474
Bisham,Pakistan,61003.45045
Bhavnagar,India,732065.6633
Netrokona,Bangladesh,217670.5919
Marvdasht,Iran,116169.0028
